Date,3264,3395,21031,54660,55502,55711,55863,56035,60877,60952,61454,61904,61949,62182,62487,62509,72062,72187,72891,73055,73343,73858,73957,74565,74839,75026,75027,75028,75802,76749,76750,76751,76932,77258,77584,78048,78105,78282,78468
2015-04-07,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,PL,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-08,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-09,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,UL,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-10,P,P,PL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,PL,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-11,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-12,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
2015-04-13,P,PL,P,ATT,PL,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,PL,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-14,P,P,P,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,PL,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-15,P,P,UL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,UL,P,P,UL,P,PL,P,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P
2015-04-16,P,P,UL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-17,P,P,UL,ATT,P,P,ATT,ATT,ATT,P,ATT,ATT,ATT,ATT,P,P,P,P,P,P,P,P,PL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2015-04-18,WOFF,WOFF,WOFF,ATT,WOFF,WOFF,ATT,ATT,ATT,WOFF,ATT,ATT,ATT,ATT,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF,WOFF
