Date,Employee ID,Status,Relaxation,Entered By,Comment,Approval,Rejection Comment
2015-01-14,75802,Working,0,Big Brother,\N,\N,\N
2015-01-14,76749,Working,0,Big Brother,\N,\N,\N
2015-01-14,55502,Working,0,Big Brother,\N,\N,\N
2015-01-15,56035,Working,0,Big Brother,\N,\N,\N
2015-01-15,55863,Working,0,Big Brother,\N,\N,\N
2015-01-15,61454,Working,0,Big Brother,\N,\N,\N
2015-01-15,61904,Working,0,Big Brother,\N,\N,\N
2015-01-15,73343,Working,0,Big Brother,\N,\N,\N
2015-01-15,73858,Working,0,Big Brother,\N,\N,\N
2015-01-15,61949,Working,0,Big Brother,\N,\N,\N
2015-01-15,73957,Working,0,Big Brother,\N,\N,\N
2015-01-15,74565,Working,0,Big Brother,\N,\N,\N
2015-01-15,74839,Working,0,Big Brother,\N,\N,\N
2015-01-15,75027,Working,0,Big Brother,\N,\N,\N
2015-01-15,75028,Working,0,Big Brother,\N,\N,\N
2015-01-15,75026,Working,0,Big Brother,\N,\N,\N
2015-01-15,76751,Working,0,Big Brother,\N,\N,\N
2015-01-15,76932,Working,0,Big Brother,\N,\N,\N
2015-01-15,76750,Working,0,Big Brother,\N,\N,\N
2015-01-15,62182,Working,0,Big Brother,\N,\N,\N
2015-01-15,62509,Working,0,Big Brother,\N,\N,\N
2015-01-15,62487,Working,0,Big Brother,\N,\N,\N
2015-01-15,60952,Working,0,Big Brother,\N,\N,\N
2015-01-15,60877,Working,0,Big Brother,\N,\N,\N
2015-01-15,72062,Working,0,Big Brother,\N,\N,\N
2015-01-15,72891,Working,0,Big Brother,\N,\N,\N
2015-01-15,72187,Working,0,Big Brother,\N,\N,\N
2015-01-15,77584,Working,0,Big Brother,\N,\N,\N
2015-01-15,54660,Working,0,Big Brother,\N,\N,\N
2015-01-15,21031,Working,0,Big Brother,\N,\N,\N
2015-01-15,75802,Working,0,Big Brother,\N,\N,\N
2015-01-15,76749,Working,0,Big Brother,\N,\N,\N
2015-01-15,55502,Working,0,Big Brother,\N,\N,\N
2015-01-16,56035,Working,0,Big Brother,\N,\N,\N
2015-01-16,55863,Working,0,Big Brother,\N,\N,\N
2015-01-16,61454,Working,0,Big Brother,\N,\N,\N
2015-01-16,61904,Working,0,Big Brother,\N,\N,\N
2015-01-16,73343,Working,0,Big Brother,\N,\N,\N
2015-01-16,73858,Working,0,Big Brother,\N,\N,\N
2015-01-16,61949,Working,0,Big Brother,\N,\N,\N
2015-01-16,73957,Working,0,Big Brother,\N,\N,\N
2015-01-16,74565,Working,0,Big Brother,\N,\N,\N
2015-01-16,74839,Working,0,Big Brother,\N,\N,\N
2015-01-16,75027,Working,0,Big Brother,\N,\N,\N
2015-01-16,75028,Working,0,Big Brother,\N,\N,\N
2015-01-16,75026,Working,0,Big Brother,\N,\N,\N
2015-01-16,76751,Working,0,Big Brother,\N,\N,\N
2015-01-16,76932,Working,0,Big Brother,\N,\N,\N
2015-01-16,76750,Working,0,Big Brother,\N,\N,\N
2015-01-16,62182,Working,0,Big Brother,\N,\N,\N
2015-01-16,62509,Working,0,Big Brother,\N,\N,\N
2015-01-16,62487,Working,0,Big Brother,\N,\N,\N
2015-01-16,60952,Working,0,Big Brother,\N,\N,\N
2015-01-16,60877,Working,0,Big Brother,\N,\N,\N
2015-01-16,72062,Working,0,Big Brother,\N,\N,\N
2015-01-16,72891,Working,0,Big Brother,\N,\N,\N
2015-01-16,72187,Working,0,Big Brother,\N,\N,\N
2015-01-16,77584,Working,0,Big Brother,\N,\N,\N
2015-01-16,54660,Working,0,Big Brother,\N,\N,\N
2015-01-16,21031,Working,0,Big Brother,\N,\N,\N
2015-01-16,75802,Working,0,Big Brother,\N,\N,\N
2015-01-16,76749,Working,0,Big Brother,\N,\N,\N
2015-01-16,55502,Working,0,Big Brother,\N,\N,\N
2015-01-17,56035,Working,0,Big Brother,\N,\N,\N
2015-01-17,55863,Working,0,Big Brother,\N,\N,\N
2015-01-17,61454,Working,0,Big Brother,\N,\N,\N
2015-01-17,61904,Working,0,Big Brother,\N,\N,\N
2015-01-17,73343,Working,0,Big Brother,\N,\N,\N
